user_id,date,achievements,challenges,collections,fansearned,fanslost,grindearned,grindspent,itemsgifted,leagues,mtxstorevisits,premiumearned,premiumspent,pvfgames,pvpgames,regularstorevisits,seasons,seasonscompleted,sessionlength,sessions,staminaearned,staminaspent,player_activity
404435880,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.000000,0.000000,0.000000,Active
404450898,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,161.000000,2.000000,0.000000,0.000000,Active
404464463,20151018,1.000000,0.000000,1.000000,0.000000,300.000000,2400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,0.000000,1108.000000,8.000000,5.000000,8.000000,Active
404481495,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5335.000000,4.000000,0.000000,0.000000,Active
404487018,20151018,0.000000,2.000000,0.000000,0.000000,0.000000,1700.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,343.000000,1.000000,18.000000,0.000000,Active
404498367,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13818.000000,18.000000,0.000000,0.000000,Active
404501755,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5825.000000,8.000000,0.000000,0.000000,Active
404503891,20151018,6.000000,26.000000,19.000000,27535.000000,36375.000000,59626.000000,469900.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,1.000000,16.000000,1.000000,9576.000000,23.000000,69.000000,47.000000,Active
404519991,20151018,2.000000,3.000000,0.000000,0.000000,0.000000,15685.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1780.000000,14.000000,1.000000,14.000000,Active
404549950,20151018,2.000000,1.000000,0.000000,7500.000000,0.000000,1040.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,Active
404607825,20151018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,Active
404619312,20151018,0.000000,3.000000,0.000000,15.000000,0.000000,11710.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,356.000000,2.000000,0.000000,3.000000,Active
